item_name,brand,price,seller_score,savings,has_units_sold,units_sold,watching
Eterna Mens Soleure Swiss Automatic Black Leather Strap Watch 834041441175,Eterna,1573.0,4703,32,TRUE,4,87
Rolex Datejust Stainless Steel Silver Dial Mens Automatic Watch 116200,Rolex,5842.5,4703,32,TRUE,4,87
Rolex Daytona 18k Yellow Gold & Steel Ceramic Chronograph Watch 116523,Rolex,8950.0,4703,32,TRUE,4,87
Chronoswiss Timemaster 150 Automatic Black  Steel Mens Watch CH2733AZ31,Chronoswiss,1295.0,962,0,FALSE,0,14
Ebel 1911 Discovery  Chronograph Automatic Black dial Orange Bezel Brand New,EBEL,2500.0,216,0,FALSE,0,18
Movado Mens 0606759 SE Pilot Stainless Steel Bracelet Black Chrono Dial Watch,Movado,1056.99,8669,37,FALSE,0,14
Rolex Datejust Mens SS Stainless Steel & 18K White Gold Jubilee Silver Dial 1601,Rolex,2599.98,8669,37,FALSE,0,14
Oris Black Dial Stainless Steel Mens Watch 75276984063TSG,Oris,1087.99,8669,37,FALSE,0,14
Rolex Datejust Mens Stainless Steel Watch Dark Silver Diamond Dial Jubilee Band,Rolex,2999.98,8669,37,FALSE,0,14
Seiko Astron Solar GPS SS Brown Dial Mens Watch SSE033,Seiko,1068.99,8669,40,TRUE,1,3
IWC Portofino Black Dial Black Leather Strap Mens Watch IW356502,IWC,3577.99,8669,20,FALSE,0,6
NEW ROLEX DAYTONA CERAMIC BLACK DIAL STAINLESS STEEL OYSTER BRACELET 116500LN,Rolex,16800.0,9974,0,FALSE,0,13
Victorinox Airboss Mach 9 Chronograph Automatic Stainless Steel Watch 241722,Victorinox,1255.0,323,0,FALSE,0,12
*NEW* Longines Avigation Black Dial Mens Auto L27774530                  ,Longines,1195.0,2546,0,FALSE,0,1
New Tag Heuer Formula 1 Quartz Mens Watch WAU1111BA0858,Tag Heuer,1050.0,4703,27,FALSE,0,2
NEW Baume et Mercier Clifton Steel on Leather Swiss Automatic Mens Watch 10052,Baume et Mercier,1870.0,1439,0,FALSE,0,17
ROLEX  40mm DAYTONA Stainless Steel Black Index Dial 116520  SANT BLANC,Rolex,10750.0,1439,0,FALSE,0,17
New Omega Seamaster Automatic Blue Dial Mens Watch 2123041200,Omega,3245.0,4703,26,FALSE,0,22
Mens Rolex Solid 18k Yellow Gold Day Date President Watch White MOP Diamond 1803,Rolex,9099.98,4703,26,FALSE,0,22
Oris Artelier Black Dial Stainless Steel Mens Watch 73376704054MB,Oris,1072.99,8669,37,FALSE,0,4
18K Mens Yellow Gold Rolex Presidential DayDate Arabic 36MM Diamond Watch 6 Ct,Rolex,12999.99,17519,69,TRUE,6,238
